State,Pop_Growth,Population,GDP_Growth,abbreviation,Econ&Pop,MedianHomePrice,MedianRent,1% Rule,CrimeRate_100k,COL
Alaska,-0.00082,732984,-2.4,AK,-2.40082,379600.0,1240,0.003266596417281349,5358.896,124.4
Massachusetts,-0.00111,6974258,2.0,MA,1.99889,614700.0,1336,0.002173417927444282,2415.177,148.4
New Mexico,-0.00158,2110011,1.1,NM,1.0984200000000002,349200.0,857,0.0024541809851088203,6462.032,94.2
Maryland,-0.00161,6154710,0.73,MD,0.72839,421800.0,1415,0.003354670459933618,3619.488,119.5
California,-0.00291,38915693,0.4,CA,0.39709,785900.0,1586,0.0020180684565466343,4719.9,134.5
Rhode Island,-0.00297,1090483,1.5,RI,1.49703,462100.0,1031,0.0022311188054533653,2721.722,110.5
Pennsylvania,-0.00309,12931957,2.1,PA,2.0969100000000003,278700.0,958,0.003437387872264083,3677.679,99.0
Mississippi,-0.00324,2930528,0.2,MS,0.19676000000000002,271200.0,789,0.00290929203539823,4494.426,85.3
Oregon,-0.00381,4223973,3.0,OR,2.99619,510900.0,1173,0.0022959483264826776,5609.893,115.1
Hawaii,-0.00483,1433238,1.2,HI,1.19517,720200.0,1651,0.0022924187725631767,5076.88,179.0
West Virginia,-0.00584,1764786,0.4,WV,0.39416,304400.0,732,0.00240473061760841,3154.662,90.3
Louisiana,-0.00803,4553384,-1.8,LA,-1.80803,257400.0,876,0.0034032634032634033,6408.216,92.0
Illinois,-0.0083,12477595,2.3,IL,2.2916999999999996,280900.0,1038,0.0036952652189391243,3544.667,90.8
New York,-0.00916,19496810,3.2,NY,3.19084,819900.0,1315,0.0016038541285522624,3185.2,125.1
